basin_id,basin_label,airport_code,latitude,longitude,country_id,country_name,country_iso3,region_id,region_label,continent_id,continent_label,hemisphere_id,hemisphere_label
0,Menongue,SPP,-14.6586,17.7214,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
1,Huambo,NOV,-12.8092,15.7608,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
2,M'BanzaCongo,SSY,-6.2697,14.2472,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
3,Soyo,SZA,-6.1411,12.3725,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
4,Lubango,SDD,-14.9247,13.575,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
5,Kuito,SVP,-12.4044,16.9483,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
6,Cabinda,CAB,-5.5972,12.1881,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
7,Luena,LUO,-11.7672,19.8939,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
8,Ondjiva,VPE,-17.0439,15.6847,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
9,Malange,MEG,-9.5253,16.3131,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
10,Saurimo,VHC,-9.6892,20.4317,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
11,Luanda,LAD,-8.8583,13.2311,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
12,Catumbela,CBT,-12.4814,13.4869,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
13,Namibe,MSZ,-15.2617,12.1472,2,Angola,AGO,9,Middle Africa,0,Africa,1,Tropical hemisphere
14,Chlef,CFK,36.2128,1.3317,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
15,HassiMessaoud,HME,31.6731,6.1406,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
16,Setif,QSF,36.1781,5.3244,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
17,Laghouat,LOO,33.7647,2.9275,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
18,ElBayadh,EBH,33.7208,1.0914,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
19,Tebessa,TEE,35.4317,8.1208,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
20,Oran,ORN,35.6239,-0.6211,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
21,InSalah,INZ,27.2511,2.5119,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
22,InGuezzam,INF,19.5611,5.7514,61,Algeria,DZA,10,Northern Africa,0,Africa,1,Tropical hemisphere
23,Biskra,BSK,34.7933,5.7383,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
24,Constantine,CZL,36.2761,6.6203,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
25,Ouargla,OGX,31.9239,5.4106,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
26,Touggourt,TGR,33.0678,6.0886,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
27,Illizi,VVZ,26.7236,8.6228,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
28,ElGolea,ELG,30.5817,2.8617,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
29,ElOued,ELU,33.5128,6.7828,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
30,Adrar,AZR,27.8375,-0.1864,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
31,Djanet,DJG,24.2928,9.4525,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
32,Batna,BLJ,35.7522,6.3086,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
33,Ghardaia,GHA,32.3842,3.7942,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
34,BordjMokhtar,BMW,21.3775,0.9236,61,Algeria,DZA,10,Northern Africa,0,Africa,1,Tropical hemisphere
35,Tlemcen,TLM,35.0133,-1.4578,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
36,InAmenas,IAM,28.0517,9.6428,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
37,Mecheria,MZW,33.5358,-0.2425,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
38,Tamanrasset,TMR,22.8114,5.4511,61,Algeria,DZA,10,Northern Africa,0,Africa,1,Tropical hemisphere
39,Timimoun,TMX,29.2369,0.2769,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
40,Bejaia,BJA,36.7119,5.07,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
41,Jijel,GJL,36.795,5.8736,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
42,Bechar,CBH,31.6461,-2.2789,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
43,Algiers,ALG,36.6942,3.2147,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
44,Mascara,MUW,35.2075,0.1461,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
45,Annaba,AAE,36.8222,7.8092,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
46,Tindouf,TIN,27.7003,-8.1672,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
47,Tiaret,TID,35.3417,1.4669,61,Algeria,DZA,10,Northern Africa,0,Africa,0,Northern hemisphere
